OBJECTID,NAME,NAME_FR,FACILITY_GROUP_NAME,FACILITY_GROUP_NAME_FR,ADDRESS,ADDRESS_FR,SEASONAL,SEASON_START,SEASON_END,HOURS_SUNDAY_OPEN,HOURS_SUNDAY_CLOSED,HOURS_SUNDAY_SPECIAL,HOURS_MONDAY_OPEN,HOURS_TUESDAY_OPEN,HOURS_TUESDAY_CLOSED,HOURS_TUESDAY_SPECIAL,HOURS_WEDNESDAY_OPEN,HOURS_WEDNESDAY_CLOSED,HOURS_WEDNESDAY_SPECIAL,HOURS_THURSDAY_OPEN,HOURS_THURSDAY_CLOSED,HOURS_THURSDAY_SPECIAL,HOURS_FRIDAY_OPEN,HOURS_FRIDAY_CLOSED,HOURS_FRIDAY_SPECIAL,HOURS_SATURDAY_OPEN,HOURS_SATURDAY_CLOSED,HOURS_SATURDAY_SPECIAL,STAT_HOLIDAY_AVAILABILITY,CHANGE_STATION_CHILD,CHANGE_STATION_ADULT,FAMILY_TOILET,ACCESSIBILITY,REPORT_TELEPHONE,SPECIAL_TOILET_TYPE,X_COORDINATE,Y_COORDINATE,JURISDICTION,HOURS_MONDAY_CLOSED,HOURS_MONDAY_SPECIAL,HOURS_SUNDAY_SPECIAL_FR,HOURS_MONDAY_SPECIAL_FR,HOURS_TUESDAY_SPECIAL_FR,HOURS_WEDNESDAY_SPECIAL_FR,HOURS_THURSDAY_SPECIAL_FR,HOURS_FRIDAY_SPECIAL_FR,HOURS_SATURDAY_SPECIAL_FR
27,Kaladar Park,Parc Kaladar,NA,NA,2554 Kaladar Ave.,"2554, av. Kaladar",1,MAY,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.67289721,45.37367807,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
28,Westwood Park,Parc Westwood,NA,NA,2000 Saville Row,"2000, rang Saville",1,MAY,AUG,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.7671481,45.37765616,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
29,Nepean Creek Park / Charmaine Hooper Fields,Parc Nepean Creek / Terrains Charmaine-Hooper,NA,NA,15 Colonnade Rd,"15, ch. Colonnade",1,MAY,SEP,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.71681312,45.34460506,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
30,Petrie Island Park,Parc de l'Île Petrie,NA,NA,727 Trim Rd,"727, ch. Trim",1,MAY,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.49226614,45.50526405,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
31,Cumberland Millenium Sports Park,Parc sportif millennium de Cumberland,NA,NA,100 Millennium Blvd.,"100, boul. Millennium",1,MAY,SEP,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.44744131,45.46543437,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
32,W.C. Levesque Fields,Terrains W.-C.-Levesque,NA,NA,52 Riverstone Dr.,"52, prom. Riverstone",1,MAY,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.7283835,45.26211106,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
33,Kilborn Allotment Garden,Jardins Collectifs Kilborn,NA,NA,1975 Kilborn Ave.,"1975, av. Kilborn",1,APR,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.63720423,45.38887549,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
34,Claudette Cain Park,Parc Claudette-Cain,NA,NA,660 River Rd,"660, ch. River",1,MAY,SEP,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,0,311,1,-75.6985714,45.2730309,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
35,Stuemer Park,Parc Stuemer,NA,NA,777 Trim Rd,"777, ch. Trim",1,APR,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,1,311,1,-75.48818011,45.50540125,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
36,Andrew Haydon Park,Parc Andrew-Haydon,NA,NA,3127 Carling Ave,"3127, av. Carling",1,APR,OCT,05:00,23:00,NA,05:00,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,05:00,23:00,NA,1,0,0,0,1,311,1,-75.82045703,45.34923585,OTTAWA,23:00,NA,NA,NA,NA,NA,NA,NA,NA
